MESURE_TME,CNTER_NM,AGE_FLAG_NM,MESURE_PLACE_FLAG_NM,MESURE_AGE_CO,INPT_FLAG_NM,COAW_FLAG_NM,MESURE_DAY,SEXDSTN_FLAG_CD,MESURE_IEM_001_VALUE,MESURE_IEM_002_VALUE,MESURE_IEM_003_VALUE,MESURE_IEM_004_VALUE,MESURE_IEM_005_VALUE,MESURE_IEM_006_VALUE,MESURE_IEM_007_VALUE,MESURE_IEM_008_VALUE,MESURE_IEM_009_VALUE,MESURE_IEM_010_VALUE,MESURE_IEM_012_VALUE,MESURE_IEM_013_VALUE,MESURE_IEM_014_VALUE,MESURE_IEM_015_VALUE,MESURE_IEM_016_VALUE,MESURE_IEM_017_VALUE,MESURE_IEM_018_VALUE,MESURE_IEM_019_VALUE,MESURE_IEM_020_VALUE,MESURE_IEM_021_VALUE,MESURE_IEM_022_VALUE,MESURE_IEM_023_VALUE,MESURE_IEM_024_VALUE,MESURE_IEM_025_VALUE,MESURE_IEM_026_VALUE,MESURE_IEM_027_VALUE,MESURE_IEM_028_VALUE,MESURE_IEM_029_VALUE,MESURE_IEM_030_VALUE,MESURE_IEM_031_VALUE,MESURE_IEM_032_VALUE,MESURE_IEM_033_VALUE,MESURE_IEM_034_VALUE,MESURE_IEM_035_VALUE,MESURE_IEM_036_VALUE,MESURE_IEM_037_VALUE,MESURE_IEM_038_VALUE,MESURE_IEM_039_VALUE,MESURE_IEM_040_VALUE,MESURE_IEM_041_VALUE,MESURE_IEM_042_VALUE,MESURE_IEM_043_VALUE,MESURE_IEM_044_VALUE,MESURE_IEM_050_VALUE,MESURE_IEM_051_VALUE,MESURE_IEM_052_VALUE
2,증평,성인,일반,19,관리자,참가,20,M,176.6,77.8,19.6,84.1,66,134,37.5,40.2,,,14.8,,,,,,24.9,56,,,232,,,,,,51.7,,,,,,,,99,47.7,,,0.338,,,,,,,
1,증평,성인,일반,62,관리자,2등급,20,F,160.1,57.8,30.4,79.0,74,120,21.7,24,,,18.6,,,,,,22.5,21,,,113,,,,,,41.5,,,70,108,124,,34.4,,,,,0.414,,,,,,,
1,서초,성인,일반,61,관리자,2등급,20,M,158.5,54.9,19.5,77.0,77,154,31.2,35.9,,,18.2,,,,,,21.9,30,22,,,,,,,,65.4,,37.5,,,,,,,,,,0.344,0.527,,,,,,
1,동구(인천),성인,일반,19,관리자,참가,20,M,176.2,70,24.6,,89,159,37.4,39.1,,,4.6,,,,,,22.5,43,,,,,,,,,55.9,,,,,,,,138,43.7,,,0.449,0.599,,,,,,
1,광주,성인,일반,20,관리자,3등급,20,M,180.4,75.5,15.9,82.8,78,155,47.4,52.4,,,17.7,,,,,,23.2,78,45,9.26,259,,,,,,69.4,,42.7,,,,,,,,,,,,,,,,,
3,포항,성인,일반,19,관리자,2등급,20,M,173.9,59.8,16,,74,118,41.5,37.5,,,16.4,,,,,,19.8,56,,10.35,214,,,,,,69.4,,,,,,,,118,48.7,,,,,,,,,,
2,안산,성인,일반,19,관리자,3등급,20,M,170.0,65.6,18.7,80.4,81,135,40.8,42.9,,,12.4,,,,,,22.7,45,,,,,,,,,65.4,,,91,112,143,175,44.1,,,,,0.354,0.544,,,,,,
3,서초,성인,일반,64,관리자,1등급,20,M,165.7,61.3,22.3,78.2,74,152,37.5,42.7,,,15.1,,,,,,22.3,44,,,185,,,,,,69.7,,,,,,,,104,38.7,,,0.362,,,,,,,
1,KSPO광주,성인,일반,19,관리자,참가,20,M,177.3,78,15.9,82.1,81,154,43.8,44.7,,,20.2,,,,,,24.8,39,45,10.33,244,,,,,,57.3,,42.4,,,,,,,,,,,,,,,,,
1,KSPO광주,성인,일반,20,관리자,참가,20,M,176.3,74,19.1,74.2,77,132,36.2,46.6,,,9.6,,,,,,23.8,43,30,11.14,232,,,,,,63.0,,39.5,,,,,,,,,,,,,,,,,
