MESURE_TME,CNTER_NM,AGE_FLAG_NM,MESURE_PLACE_FLAG_NM,MESURE_AGE_CO,INPT_FLAG_NM,COAW_FLAG_NM,MESURE_DAY,SEXDSTN_FLAG_CD,MESURE_IEM_001_VALUE,MESURE_IEM_002_VALUE,MESURE_IEM_003_VALUE,MESURE_IEM_004_VALUE,MESURE_IEM_005_VALUE,MESURE_IEM_006_VALUE,MESURE_IEM_007_VALUE,MESURE_IEM_008_VALUE,MESURE_IEM_009_VALUE,MESURE_IEM_010_VALUE,MESURE_IEM_012_VALUE,MESURE_IEM_013_VALUE,MESURE_IEM_014_VALUE,MESURE_IEM_015_VALUE,MESURE_IEM_016_VALUE,MESURE_IEM_017_VALUE,MESURE_IEM_018_VALUE,MESURE_IEM_019_VALUE,MESURE_IEM_020_VALUE,MESURE_IEM_021_VALUE,MESURE_IEM_022_VALUE,MESURE_IEM_023_VALUE,MESURE_IEM_024_VALUE,MESURE_IEM_025_VALUE,MESURE_IEM_026_VALUE,MESURE_IEM_027_VALUE,MESURE_IEM_028_VALUE,MESURE_IEM_029_VALUE,MESURE_IEM_030_VALUE,MESURE_IEM_031_VALUE,MESURE_IEM_032_VALUE,MESURE_IEM_033_VALUE,MESURE_IEM_034_VALUE,MESURE_IEM_035_VALUE,MESURE_IEM_036_VALUE,MESURE_IEM_037_VALUE,MESURE_IEM_038_VALUE,MESURE_IEM_039_VALUE,MESURE_IEM_040_VALUE,MESURE_IEM_041_VALUE,MESURE_IEM_042_VALUE,MESURE_IEM_043_VALUE,MESURE_IEM_044_VALUE,MESURE_IEM_050_VALUE,MESURE_IEM_051_VALUE,MESURE_IEM_052_VALUE
"1","광산","유소년","출장","11","관리자","참가","20240701","F","147.1","43.6",,"67",,,"19.3","20.1","11",,"21",,,,,,"20.1",,"56",,"128",,,,,,"46.1",,,,,,,,,,,,,,"0.46","18","0",,,
"1","광산","유소년","출장","12","관리자","3등급","20240701","F","148.3","35.7",,"57",,,"20.4","25.2","21",,"24.3",,,,,,"16.2",,"97",,"181",,,,,,"70.6",,,,,,,,,,,,,,"0.38","18","0",,,
"1","광산","유소년","출장","11","관리자","참가","20240701","F","142.7","37.6",,"74",,,"17","18.6","34",,"12.3",,,,,,"18.5",,"24",,"134",,,,,,"49.5",,,,,,,,,,,,,,"0.52","15","2",,,
"1","광산","유소년","출장","11","관리자","참가","20240701","F","145.9","29.1",,"54.5",,,"12.2","16.3","23",,"-11",,,,,,"13.7",,"66",,"50",,,,,,"56.0",,,,,,,,,,,,,,"0.37","0","1",,,
"1","사상","청소년","출장","15","관리자","참가","20240701","M","183.7","64.1","14.4",,"72","121","44.1","49",,"54","14.5","17.49","0.555","43.652","4","43.836","19.0",,"8",,"228",,,,,,"76.4",,"37.9",,,,,,,,,,,,,,,,,
"1","사상","청소년","출장","15","관리자","참가","20240701","F","160.2","43.6","26.9",,"81","122","21.7","26.4",,"30","-8","22.9","0.418","50.853","6","51.129","17.0",,"10",,"132",,,,,,"60.6",,"34.4",,,,,,,,,,,,,,,,,
"1","광산","유소년","출장","11","관리자","3등급","20240701","F","145.7","41.9",,"73",,,"17.2","18","43",,"13.9",,,,,,"19.7",,"47",,"121",,,,,,"43.0",,,,,,,,,,,,,,"0.50","24","0",,,
"1","광산","유소년","출장","11","관리자","참가","20240701","M","149.6","57.8",,"85",,,"18.3","21.8","8",,"1.5",,,,,,"25.8",,"37",,"131",,,,,,"37.7",,,,,,,,,,,,,,"0.57","28","3",,,
"1","광산","유소년","출장","11","관리자","3등급","20240701","M","139.4","36.6",,"69",,,"13.4","16.5","40",,"20.4",,,,,,"18.8",,"57",,"167",,,,,,"45.1",,,,,,,,,,,,,,"0.49","39","6",,,
"1","광산","유소년","출장","11","관리자","3등급","20240701","M","143.7","45.7",,"78.3",,,"13.2","17.3","52",,"13.2",,,,,,"22.1",,"51",,"135",,,,,,"37.9",,,,,,,,,,,,,,"0.54","29","3",,,
